"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"RS_PART_NUMBER";"RS_PRICE-STOCK";"VALUE";
"IC1";"SN74HC138PW";"SN74HC138PW";"SOP65P640X120-16N";"Texas Instruments SN74HC138PW, Decoder, Demultiplexer, 1-of-8, Inverting, 2  6 V, 16-Pin TSSOP";"Texas Instruments SN74HC138PW, Decoder, Demultiplexer, 1-of-8, Inverting, 2  6 V, 16-Pin TSSOP";"mm";"Texas Instruments";"SN74HC138PW";"";"";"";"6631928";"https://uk.rs-online.com/web/p/products/6631928";"";
"L";"";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"L1";"33uH";"L-EUWE-TPC";"POWER-CHOKE_WE-TPC";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"POWER";"DF13-2P-1.25DSA";"DF13-2P-1.25DSA";"DF13-2P-1.25DSA";"DF13-2P";"";"";"";"";"";"";"";"";"";"";
"PROG";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P";"";"";"";"";"";"";"";"";"";"";
"PS1";"MAX15062AATA+T";"MAX15062AATA+T";"MAX14591ETAT";"MAXIM INTEGRATED PRODUCTS - MAX15062AATA+T - DC/DC CTRL, SYNC BUCK, 500KHZ, TDFN-8";"MAXIM INTEGRATED PRODUCTS - MAX15062AATA+T - DC/DC CTRL, SYNC BUCK, 500KHZ, TDFN-8";"0mm";"Maxim Integrated";"MAX15062AATA+T";"700-MAX15062AATA+T";"https://www.mouser.com/Search/Refine.aspx?Keyword=700-MAX15062AATA%2BT";"";"";"";"";
"R1";"10";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R2";"10";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R3";"10";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R4";"10";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R5";"4.7k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R6";"33";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R7";"12.1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R8";"330";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R9";"330";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R10";"49.9";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R11";"49.9";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R12";"49.9";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R13";"49.9";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R14";"330";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R15";"4.7k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R16";"4.7k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R17";"1.5k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R18";"330";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R19";"4.7k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R20";"10";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"R21";"10";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"SPI_0";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P";"";"";"";"";"";"";"";"";"";"";
"SPI_1";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P";"";"";"";"";"";"";"";"";"";"";
"SPI_2";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P";"";"";"";"";"";"";"";"";"";"";
"SPI_3";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P";"";"";"";"";"";"";"";"";"";"";
"SPI_4";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P";"";"";"";"";"";"";"";"";"";"";
"SPI_5";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P";"";"";"";"";"";"";"";"";"";"";
"SPI_6";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P";"";"";"";"";"";"";"";"";"";"";
"SPI_7";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P-1.25DSA";"DF13-5P";"";"";"";"";"";"";"";"";"";"";
"SW1";"B3U-1000P-2P-SMD";"SMD-BUTTON(2P-3.0X2.5X1.2+0.4MM)-B3U-1000P-2P-SMD";"SW2-2.6-3.0X2.5X1.2+0.4MM";"311020047";"";"";"";"";"";"";"B3U-1000P-2P-SMD";"";"";"B3U-1000P-2P-SMD";
"U$1";"ESP32-WROOM";"ESP32-WROOM";"ESP32-WROOM";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"LAN8720";"LAN8720";"QFN24";"LAN8720A/LAN8720Ai";"";"";"";"";"";"";"";"";"";"";
"U$3";"HR911105A";"HR911105A";"RJ45";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"DF13-7P-1.25DSA";"DF13-7P-1.25DSA";"DF13-7P-1.25DSA";"DF13-7P";"";"";"";"";"";"";"";"";"";"";
